picture_id,Exhibition_Name,Work_Name,Artist_Name
340,,Big Wheel 1,Xu Bing
341,,Big Wheel 2,Xu Bing
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
355,,,
356,,,
357,,,
358,,,
359,,,
360,,,Wang Baichang
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,Wisdom and Power,Liu Xiangdong
369,,Philosophy Script,Liu Xiangdong
370,,New Culture No.5,Liu Xiangdong
371,,No Title 1,Cai Guoqiang
372,,No Title 2,Cai Guoqiang
373,,Self Portrait,
374,,No Title 1,Huang Yongping
375,,No Title 2,Huang Yongping
376,,No Title 3,Huang Yongping
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,Red ,Mao Xuhui
398,,,Mao Xuhui
399,,,Mao Xuhui
400,,,Mao Xuhui
401,,,Mao Xuhui
402,,,Mao Xuhui
403,,,Mao Xuhui
404,,,Mao Xuhui
405,,,Mao Xuhui
406,,,Mao Xuhui
407,,,Mao Xuhui
408,,,Mao Xuhui
409,,,Mao Xuhui
410,,,Mao Xuhui
411,,,Mao Xuhui
412,,,Mao Xuhui
413,,,Mao Xuhui
414,,,Zhang Xiaogang
415,,,Zhang Xiaogang
416,,,Zhang Xiaogang
417,,,Zhang Xiaogang
418,,,Zhang Xiaogang
419,,,Zhang Xiaogang
420,,,Zhang Xiaogang
421,,,Zhang Xiaogang
422,,,Ye Yongqing
423,,,Ye Yongqing
424,,,Ye Yongqing
425,,,Ye Yongqing
426,,,Ye Yongqing
427,,,Ye Yongqing
428,,,Pan Dehai
429,,,Pan Dehai
430,,,Pan Dehai
431,,,Pan Dehai
432,,,Pan Dehai
433,,,Pu Liya
434,,,Ding Defu
435,,,Ding Defu
436,,,Ding Defu
437,,,Ding Defu
438,,,Ding Defu
439,,,Sun Guojuan
440,,,Sun Guojuan
441,,,Hou Wenyi
442,,,Hou Wenyi
443,,,Hou Wenyi
444,,,Hou Wenyi
