65,"Shu Qun, Absolute Principle No.4,oil on canvas, 1986",Work,,Absolute Principle No.4,oil on canvas,Shu Qun,,1985,125
66,"Shu Qun, Absolute Principle,oil on canvas, 1986",Work,,Absolute Principle ,oil on canvas,Shu Qun,,1985,125
67,"Shu Qun, Endless Road No.6, oil on canvas, 1986",Work,,Endless Road No.6,oil on canvas,Shu Qun,,1986,125
68,"Ren Jian, Legend of Sirius No.1,ink, 1984",Work,,Legend of Sirius No.1,ink,Ren Jian,,1984,125
69,"Ren Jian, Legend of Sirius No.2,ink, 1984",Work,,Legend of Sirius No.2,ink,Ren Jian,,1984,126
70,"Ren Jian, Legend of Sirius No.3,ink, 1984",Work,,Legend of Sirius No.3,ink,Ren Jian,,1984,126
71,"Ren Jian, Legend of Sirius No.4,ink, 1984",Work,,Legend of Sirius No.4,ink,Ren Jian,,1984,126
72,"Ren Jian, Legend of Sirius No.5,ink, 1984",Work,,Legend of Sirius No.5,ink,Ren Jian,,1984,127
73,"Ren Jian, Legend of Sirius No.6,ink, 1984",Work,,Legend of Sirius No.6,ink,Ren Jian,,1984,127
74,"Ren Jian, Legend of Sirius No.7,ink, 1984",Work,,Legend of Sirius No.7,ink,Ren Jian,,1984,127
75,"Ren Jian, Legend of Sirius No.8,ink, 1984",Work,,Legend of Sirius No.8,ink,Ren Jian,,1984,128
76,"Ren Jian,Haven, Earth, and Hell No.1,oil on canvas, 1984",Work,,"Haven, Earth, and Hell No.1",oil on canvas,Ren Jian,,1984,128
77,"Ren Jian,Haven, Earth, and Hell No.2,oil on canvas, 1984",Work,,"Haven, Earth, and Hell No.2",oil on canvas,Ren Jian,,1984,128
78,"Ren Jian,Haven, Earth, and Hell No.3,oil on canvas, 1984",Work,,"Haven, Earth, and Hell No.3",oil on canvas,Ren Jian,,1984,129
79,"Ren Jian,Haven, Earth, and Hell No.4,oil on canvas, 1984",Work,,"Haven, Earth, and Hell No.4",oil on canvas,Ren Jian,,1984,129
80,"Ren Jian,Haven, Earth, and Hell No.5,oil on canvas, 1984",Work,,"Haven, Earth, and Hell No.5",oil on canvas,Ren Jian,,1984,129
81,"Lin Wei,Structure of Rouault No.1,oil on canvas, 1985",Work,,Structure of Rouault No.1,oil on canvas,Lin Wei,,1985,130
82,"Lin Wei,Structure of Rouault No.2,oil on canvas, 1985",Work,,Structure of Rouault No.2,oil on canvas,Lin Wei,,1985,130
83,"Lin Wei,Structure of Rouault No.3,oil on canvas, 1985",Work,,Structure of Rouault No.3,oil on canvas,Lin Wei,,1985,130
84,"Lin Wei,Structure of Rouault No.4,oil on canvas, 1985",Work,,Structure of Rouault No.4,oil on canvas,Lin Wei,,1985,131
85,"Lin Wei,Structure of Rouault No.5,oil on canvas, 1985",Work,,Structure of Rouault No.5,oil on canvas,Lin Wei,,1985,131
86,"Lin Wei,Structure of Rouault No.6,oil on canvas, 1985",Work,,Structure of Rouault No.6,oil on canvas,Lin Wei,,1985,131
87,"Lin Wei,Structure of Rouault No.7,oil on canvas, 1985",Work,,Structure of Rouault No.7,oil on canvas,Lin Wei,,1985,131
88,"Lin Wei,Structure of Rouault No.8,oil on canvas, 1985",Work,,Structure of Rouault No.8,oil on canvas,Lin Wei,,1985,132
89,"Lin Wei,Structure of Rouault No.9,oil on canvas, 1985",Work,,Structure of Rouault No.9,oil on canvas,Lin Wei,,1985,132
90,"Lin Wei,Structure of Rouault No.10,oil on canvas, 1985",Work,,Structure of Rouault No.10,oil on canvas,Lin Wei,,1985,133
91,"Wang Yalin,Landscape,oil on canvas, 1985",Work,,Landscape,,Wang Yalin,,1985,133
92,"Wang Haiyan,Self-portrait from 2 Angles,oil on canvas, 1986",Work,,Self-portrait from 2 Angles,,Wang Haiyan,,1986,133
93,"International Youth Year, Jiangsu Youth Art Week,",Document,,,,,,1985,135
94,"Jiangsu Youth Art Week,Large Modern Art Exhibition,exhibition contract,1985",Document,,,,,,1985,136
95,"Jiangsu Youth Art Week,Large Modern Art Exhibition,scence 1, 1985",Exhibition,,,,,,1985,137
96,"Jiangsu Youth Art Week,Large Modern Art Exhibition,scence 2, 1985",Exhibition,,,,,,1985,137
97,"Jiangsu Youth Art Week,Large Modern Art Exhibition, exhibition credential, 1985",Document Exhibition,,,,,,1985,138
98,"Jiangsu Youth Art Week,Large Modern Art Exhibition, exhibition invitation, 1985",Exhibition,Large Modern Art Exhibition,,,,,1985,138
99,"Jiangsu Youth Art Week,Large Modern Art Exhibition,visitors' book 1, 1985",Document Exhibitiion,,,,,,1985,139
100,"Jiangsu Youth Art Week,Large Modern Art Exhibition,visitors' book 2, 1985",Document Exhibitiion,,,,,,1985,139
101,"Jiangsu Youth Art Week,Large Modern Art Exhibition,visitors'message 1, 1985",Document Exhibitiion,,,,,,1985,139
102,"Jiangsu Youth Art Week,Large Modern Art Exhibition,visitors' message 2, 1985",Document Exhibitiion,,,,,,1985,139
103,"Jiangsu Youth Art Week,Large Modern Art Exhibition,visitors' message 3, 1985",Document Exhibitiion,,,,,,1985,140
104,"Jiangsu Youth Art Week,Large Modern Art Exhibition,visitors' message 4, 1985",Document Exhibitiion,,,,,,1985,140
105,"Wu Xiaoyun, Repeatation, Cutted Apple, oil on canvas, 1985",Work,,"Repeatation, Cutted Apple",,Wu Xiaoyun,,1985,141
106,"Wu Xiaoyun, Seeing Sky through Yellow Hands, oil on canvas, 1985",Work,,Seeing Sky through Yellow Hands,,Wu Xiaoyun,,1985,141
107,"Ren Rong, The hand together with the shadow Is Seeking Suviving, oil on canvas, 1985",Work,,The hand together with the shadow Is Seeking Suviving,,Ren Rong,,1985,142
108,"Xu Weide, Corrosive Laugh, oil on canvas, 1985",Work,,Corrosive Laugh,,Xu Weide,,1985,142
109,"Zhou Guangfu,The River Dried--There Is Water On the Other Side Of the Mountain, oil on canvas, 1985",Work,,The River Dried--There Is Water On the Other Side Of the Mountain,,Zhou Guangfu ,,1985,143
110,"Xu Yihui, Southern Moleyate, oil on canvas, 1985",Work,,Southern Moleyate,,Xu Yihui,,1985,143
111,"Jiang Songzhu, Final Persue=Vain, oil on canvas, 1985",Work,,Final Persue=Vain,,Jiang Zhusong,,1985,144
112,"""White Sail Art Photography Exhibition"" Album, cover,1985",Document Exhibition,,,,,,1985,144
113,"""White Sail Art Photography Exhibition"" Album, content 1,1985",Document Exhibition,,,,,,1985,144
114,"""White Sail Art Photography Exhibition"" Album, content 2,1985",Document Exhibition,,,,,,1985,145
115,"""White Sail Art Photography Exhibition"" Album,invitation,1985",Document Exhibition,,,,,,1985,145
116,"Magazine ""White Sail"", 1985",Document,,,,,,1985,146
117,"Shen Qin, Mountain 2, ink, 1986",Work,,Mountain 2,ink,Shen Qin,,1986,146
118,"Guan Ce, No title, propylene, 1986",Work,,No title,propylene,Guan Ce,,1986,147
119,"Ding Fang, The Call of Metallic, oil on canvas, 1986",Work,,The Call of Metallic,oil on canvas,Ding Fang,,1986,147
120,"Chai Xiaogang,Exchange Scene 2, oil on canvas, 1986",Work,,Exchange Scene 2,oil on canvas,Chai Xiaogang,,1986,147
121,"Cao Xiaodong,Eclipse,oil on canvas, 1986",Work,,Eclipse,oil on canvas,Cao Xiaodong,,1987,148
122,"Yang Zhiling,Red Fruit, composite materials, 1986",Work,,Red Fruit,composite materials,Yang Zhiling,,1986,148
